arc_length,uh_0,uh_1,uh_2
0.00772,10.0191,0.0155451,0
0.00774,10.0191,0.0155448,0
0.00776,10.0191,0.0155446,0
0.00778,10.0191,0.0155443,0
0.0078,10.0191,0.0155441,0
0.00782,10.0191,0.0155438,0
0.00784,10.0191,0.0155436,0
0.00786,10.0191,0.0155433,0
0.00788,10.0191,0.0155431,0
0.0079,10.0191,0.0155428,0
0.00792,10.0191,0.0155426,0
0.00794,10.0191,0.0155423,0
0.00796,10.0191,0.0155421,0
0.00798,10.0191,0.0155418,0
0.008,10.0191,0.0155416,0
0.00802,10.0191,0.0155413,0
0.00804,10.0191,0.0155411,0
0.00806,10.0191,0.0155408,0
0.00808,10.0191,0.0155406,0
0.0081,10.0191,0.0155403,0
0.00812,10.0191,0.0155401,0
0.00814,10.0191,0.0155398,0
0.00816,10.0191,0.0155396,0
0.00818,10.0191,0.0155393,0
0.0082,10.0191,0.0155391,0
0.00822,10.0191,0.0155388,0
0.00824,10.0191,0.0155386,0
0.00826,10.0191,0.0155383,0
0.00828,10.0191,0.0155381,0
0.0083,10.0191,0.0155378,0
0.00832,10.0191,0.0155376,0
0.00834,10.0192,0.0155373,0
0.00836,10.0192,0.0155371,0
0.00838,10.0192,0.0155368,0
0.0084,10.0192,0.0155366,0
0.00842,10.0192,0.0155363,0
0.00844,10.0192,0.0155361,0
0.00846,10.0192,0.0155358,0
0.00848,10.0192,0.0155356,0
0.0085,10.0192,0.0155353,0
0.00852,10.0192,0.0155351,0
0.00854,10.0192,0.0155349,0
0.00856,10.0192,0.0155346,0
0.00858,10.0192,0.0155344,0
0.0086,10.0192,0.0155341,0
0.00862,10.0192,0.0155339,0
0.00864,10.0192,0.0155336,0
0.00866,10.0192,0.0155334,0
0.00868,10.0192,0.0155331,0
0.0087,10.0192,0.0155329,0
0.00872,10.0192,0.0155326,0
0.00874,10.0192,0.0155324,0
0.00876,10.0192,0.0155321,0
0.00878,10.0192,0.0155319,0
0.0088,10.0192,0.0155316,0
0.00882,10.0192,0.0155314,0
0.00884,10.0192,0.0155311,0
0.00886,10.0192,0.0155309,0
0.00888,10.0192,0.0155306,0
0.0089,10.0192,0.0155304,0
0.00892,10.0192,0.0155301,0
0.00894,10.0192,0.0155299,0
0.00896,10.0192,0.0155296,0
0.00898,10.0192,0.0155294,0
0.009,10.0192,0.0155291,0
0.00902,10.0192,0.0155289,0
0.00904,10.0192,0.0155286,0
0.00906,10.0192,0.0155284,0
0.00908,10.0192,0.0155281,0
0.0091,10.0192,0.0155279,0
0.00912,10.0192,0.0155276,0
0.00914,10.0192,0.0155274,0
0.00916,10.0192,0.0155271,0
0.00918,10.0192,0.0155269,0
0.0092,10.0192,0.0155266,0
0.00922,10.0192,0.0155264,0
0.00924,10.0192,0.0155261,0
0.00926,10.0192,0.0155259,0
0.00928,10.0192,0.0155256,0
0.0093,10.0192,0.0155254,0
0.00932,10.0192,0.0155252,0
0.00934,10.0192,0.0155249,0
0.00936,10.0192,0.0155247,0
0.00938,10.0192,0.0155244,0
0.0094,10.0192,0.0155242,0
0.00942,10.0192,0.0155239,0
0.00944,10.0192,0.0155237,0
0.00946,10.0192,0.0155234,0
0.00948,10.0192,0.0155232,0
0.0095,10.0192,0.0155229,0
0.00952,10.0192,0.0155227,0
0.00954,10.0192,0.0155224,0
0.00956,10.0192,0.0155222,0
0.00958,10.0192,0.0155219,0
0.0096,10.0192,0.0155217,0
0.00962,10.0192,0.0155214,0
0.00964,10.0192,0.0155212,0
0.00966,10.0192,0.0155209,0
0.00968,10.0192,0.0155207,0
0.0097,10.0192,0.0155204,0
0.00972,10.0192,0.0155202,0
0.00974,10.0192,0.0155199,0
0.00976,10.0192,0.0155197,0
0.00978,10.0192,0.0155194,0
0.0098,10.0192,0.0155192,0
0.00982,10.0192,0.0155189,0
0.00984,10.0192,0.0155187,0
0.00986,10.0192,0.0155185,0
0.00988,10.0192,0.0155182,0
0.0099,10.0192,0.015518,0
0.00992,10.0192,0.0155177,0
0.00994,10.0192,0.0155175,0
0.00996,10.0192,0.0155172,0
0.00998,10.0192,0.015517,0
0.01,10.0192,0.0155167,0
0.01002,10.0192,0.0155165,0
0.01004,10.0192,0.0155162,0
0.01006,10.0192,0.015516,0
0.01008,10.0192,0.0155157,0
0.0101,10.0192,0.0155155,0
0.01012,10.0192,0.0155152,0
0.01014,10.0192,0.015515,0
0.01016,10.0192,0.0155147,0
0.01018,10.0192,0.0155145,0
0.0102,10.0192,0.0155142,0
0.01022,10.0192,0.015514,0
0.01024,10.0192,0.0155138,0
0.01026,10.0192,0.0155135,0
0.01028,10.0192,0.0155133,0
0.0103,10.0192,0.015513,0
0.01032,10.0192,0.0155128,0
0.01034,10.0192,0.0155125,0
0.01036,10.0192,0.0155123,0
0.01038,10.0192,0.015512,0
0.0104,10.0192,0.0155118,0
0.01042,10.0192,0.0155115,0
0.01044,10.0192,0.0155113,0
0.01046,10.0192,0.015511,0
0.01048,10.0192,0.0155108,0
0.0105,10.0192,0.0155105,0
0.01052,10.0192,0.0155103,0
0.01054,10.0192,0.01551,0
0.01056,10.0192,0.0155098,0
0.01058,10.0192,0.0155096,0
0.0106,10.0192,0.0155093,0
0.01062,10.0192,0.0155091,0
0.01064,10.0192,0.0155088,0
0.01066,10.0192,0.0155086,0
0.01068,10.0192,0.0155083,0
0.0107,10.0192,0.0155081,0
0.01072,10.0192,0.0155078,0
0.01074,10.0192,0.0155076,0
0.01076,10.0192,0.0155073,0
0.01078,10.0192,0.0155071,0
0.0108,10.0192,0.0155068,0
0.01082,10.0192,0.0155066,0
0.01084,10.0192,0.0155063,0
0.01086,10.0192,0.0155061,0
0.01088,10.0192,0.0155059,0
0.0109,10.0192,0.0155056,0
0.01092,10.0192,0.0155054,0
0.01094,10.0192,0.0155051,0
0.01096,10.0192,0.0155049,0
0.01098,10.0192,0.0155046,0
0.011,10.0192,0.0155044,0
0.01102,10.0192,0.0155041,0
0.01104,10.0192,0.0155039,0
0.01106,10.0192,0.0155036,0
0.01108,10.0192,0.0155034,0
0.0111,10.0192,0.0155031,0
0.01112,10.0192,0.0155029,0
0.01114,10.0192,0.0155027,0
0.01116,10.0192,0.0155024,0
0.01118,10.0192,0.0155022,0
0.0112,10.0192,0.0155019,0
0.01122,10.0192,0.0155017,0
0.01124,10.0192,0.0155014,0
0.01126,10.0192,0.0155012,0
0.01128,10.0192,0.0155009,0
0.0113,10.0192,0.0155007,0
0.01132,10.0192,0.0155004,0
0.01134,10.0192,0.0155002,0
0.01136,10.0192,0.0155,0
0.01138,10.0192,0.0154997,0
0.0114,10.0192,0.0154995,0
